Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,10/1/2013,123.65499,124.30466,124.75166,122.56349
BTC,10/2/2013,125.455,123.65499,125.7585,123.63383
BTC,10/3/2013,108.58483,125.455,125.66566,83.32833
BTC,10/4/2013,118.67466,108.58483,118.675,107.05816
BTC,10/5/2013,121.33866,118.67466,121.93633,118.00566
BTC,10/6/2013,120.65533,121.33866,121.85216,120.5545
BTC,10/7/2013,121.795,120.65533,121.99166,120.43199
BTC,10/8/2013,123.033,121.795,123.64016,121.35066
BTC,10/9/2013,124.049,123.033,124.7835,122.59266
BTC,10/10/2013,125.96116,124.049,128.01683,123.81966
BTC,10/11/2013,125.27966,125.96116,126.43666,124.11383
BTC,10/12/2013,125.9275,125.27966,126.0365,123.12966
BTC,10/13/2013,126.38333,125.9275,126.8965,125.2765
BTC,10/14/2013,135.24199,126.38333,135.24199,126.255
BTC,10/15/2013,133.20333,135.24199,135.69216,130.39275
BTC,10/16/2013,142.76333,133.20333,143.60483,132.94933
BTC,10/17/2013,137.92333,142.76333,145.601,136.01466
BTC,10/18/2013,142.95166,137.92333,144.311,137.53966
BTC,10/19/2013,152.55183,142.95166,152.6685,142.47949
BTC,10/20/2013,160.33883,152.55183,167.07999,152.5135
BTC,10/21/2013,164.31499,160.33883,164.3315,159.89666
BTC,10/22/2013,177.63333,164.31499,177.71166,163.87149
BTC,10/23/2013,188.29716,177.63333,188.82383,177.11399
BTC,10/24/2013,200.70166,188.29716,202.34333,185.81683
BTC,10/25/2013,180.355,200.70166,201.33316,158.72216
BTC,10/26/2013,175.03166,180.355,184.09033,162.56466
BTC,10/27/2013,177.6965,175.03166,180.3185,174.74483
BTC,10/28/2013,187.15983,177.6965,188.3985,174.9035
BTC,10/29/2013,192.75666,187.15983,192.83983,185.88116
BTC,10/30/2013,197.4,192.75666,198.41366,191.62716
BTC,10/31/2013,196.02499,197.4,198.79333,192.83366
BTC,11/1/2013,198.04883,196.02499,198.57,195.02916
BTC,11/2/2013,198.93233,198.04883,199.09783,195.49
BTC,11/3/2013,200.543,198.93233,201.24116,198.71016
BTC,11/4/2013,210.3075,200.543,211.17133,200.296
BTC,11/5/2013,225.02,210.3075,227.02833,209.23333
BTC,11/6/2013,248.25333,225.02,248.32116,221.84833
BTC,11/7/2013,262.32666,248.25333,262.67166,242.95166
BTC,11/8/2013,294.48699,262.32666,294.48749,260.45166
BTC,11/9/2013,331.10325,294.48699,343.67975,293.48749
BTC,11/10/2013,285.8875,331.10325,355.2275,277.25275
BTC,11/11/2013,304.97974,285.8875,323.27249,260.70325
BTC,11/12/2013,338.137,304.97974,339.795,303.6505
BTC,11/13/2013,357.48,338.137,358.94999,336.30775
BTC,11/14/2013,402.954,357.48,409.51,350.20999
BTC,11/15/2013,409.10375,402.954,415.93975,383.5775
BTC,11/16/2013,420.21649,409.10375,427.90425,386.565
BTC,11/17/2013,437.29725,420.21649,437.9695,415.1975
BTC,11/18/2013,510.6025,437.29725,512.16999,436.13324
BTC,11/19/2013,693.65,510.6025,781.82624,491.585
BTC,11/20/2013,531.54249,693.65,716.825,394.90624
BTC,11/21/2013,574.71599,531.54249,580.11375,428.9815
BTC,11/22/2013,681.33,574.71599,705.49725,570.78025
BTC,11/23/2013,774.18,681.33,775.6525,651.89599
BTC,11/24/2013,746.19374,774.18,823.41525,691.6925
BTC,11/25/2013,768.8475,746.19374,787.2475,707.75149
BTC,11/26/2013,789.36475,768.8475,793.71424,739.8375
BTC,11/27/2013,893.1815,789.36475,904.585,787.19
BTC,11/28/2013,934.355,893.1815,965.2525,870.38525
BTC,11/29/2013,1068.363,934.355,1084.9466,912.931
BTC,11/30/2013,1154.92593,1068.363,1157.49894,1028.22683
BTC,12/1/2013,1099.51926,1154.92593,1156.02831,1099.2065
BTC,12/2/2013,1019.78966,1099.51926,1099.70754,783.68616
BTC,12/3/2013,1028.845,1019.78966,1049.67916,929.95483
BTC,12/4/2013,1071.2848,1028.845,1092.83331,1021.177
BTC,12/5/2013,1139.33083,1071.2848,1151.29749,1066.87277
BTC,12/6/2013,1004.61633,1139.33083,1144.36916,870.3838
BTC,12/7/2013,759.43041,1004.61633,1038.55,656.87499
BTC,12/8/2013,689.81,759.43041,826.32766,558.08333
BTC,12/9/2013,841.83966,689.81,845.85092,682.71342
BTC,12/10/2013,916.77599,841.83966,948.68183,809.91748
BTC,12/11/2013,967.42866,916.77599,1004.93666,900.68016
BTC,12/12/2013,866.29003,967.42866,975.62383,832.22683
BTC,12/13/2013,911.23204,866.29003,919.30033,843.4055
BTC,12/14/2013,889.81946,911.23204,933.17016,859.44999
BTC,12/15/2013,848.9975,889.81946,897.30915,848.25583
BTC,12/16/2013,868.95316,848.9975,886.23583,819.43828
BTC,12/17/2013,653.80483,868.95316,876.21516,636.15056
BTC,12/18/2013,654.06266,653.80483,757.02366,647.62209
BTC,12/19/2013,553.69166,654.06266,654.06266,422.497
BTC,12/20/2013,693.05883,553.69166,710.3255,545.53966
BTC,12/21/2013,649.38965,693.05883,733.23666,598.06131
BTC,12/22/2013,595.95883,649.38965,651.8435,580.72816
BTC,12/23/2013,647.68316,595.95883,671.59166,594.36595
BTC,12/24/2013,671.58116,647.68316,685.3675,632.5431
BTC,12/25/2013,659.84333,671.58116,675.614,645.78333
BTC,12/26/2013,702.00083,659.84333,720.22498,651.53
BTC,12/27/2013,758.01016,702.00083,780.93666,698.07
BTC,12/28/2013,734.01166,758.01016,772.90666,723.98666
BTC,12/29/2013,717.92623,734.01166,753.83333,705.1025
BTC,12/30/2013,752.82022,717.92623,759.6362,713.751
BTC,12/31/2013,744.17249,752.82022,763.83,743.7
BTC,1/1/2014,768.40783,744.17249,772.959,733.19433
BTC,1/2/2014,769.09849,768.40783,774.26333,750.52516
BTC,1/3/2014,804.02719,769.09849,826.34166,768.15367
BTC,1/4/2014,813.31748,804.02719,839.85833,798.11833
BTC,1/5/2014,871.11583,813.31748,873.98,808.71666
BTC,1/6/2014,970.65083,871.11583,972.00354,861.25831
BTC,1/7/2014,962.46447,970.65083,1023.16666,914.76666
BTC,1/8/2014,855.75933,962.46447,970.22516,788.70166
BTC,1/9/2014,860.84166,855.75933,886.02916,822.32296
BTC,1/10/2014,847.5325,860.84166,880.64166,814.17054
BTC,1/11/2014,892.26115,847.5325,902.035,837.57458
BTC,1/12/2014,916.69666,892.26115,940.495,876.57666
BTC,1/13/2014,873.27168,916.69666,920.71733,857.73833
BTC,1/14/2014,863.69888,873.27168,873.27168,821.00333
BTC,1/15/2014,853.25666,863.69888,871.11385,839.125
BTC,1/16/2014,874.07416,853.25666,888.88519,853.25666
BTC,1/17/2014,842.19173,874.07416,879.62999,841.27916
